origin_province,origin_total,total_stayers,stay_share
Albacete,43567,12267,.28156632
Alicante,61452,34843,.56699538
Almería,41518,16405,.39512983
Asturias,119290,80938,.67849779
Badajoz,97347,18243,.18740177
Baleares,40049,21253,.53067493
Barcelona,419822,295055,.70280975
Burgos,51149,18002,.35195214
Castellón,29869,15422,.51632124
Ceuta,9317,4,.00042932274
Ciudad Real,70882,9835,.13875173
Coruña (La),72952,43555,.59703642
Cuenca,39849,7364,.18479761
Cáceres,68890,14450,.20975468
Cádiz,78253,25188,.32187903
Córdoba,92588,23263,.25125286
Extranjero y otros,401843,0,0
Gerona,46260,28638,.61906612
Granada,105238,35153,.33403334
Guadalajara,26115,8912,.34125981
Guipúzcoa,97607,54402,.55735755
Huelva,36644,13003,.35484663
Huesca,28678,12084,.4213683
Jaén,88721,19205,.2164651
León,84272,28603,.33941287
Lugo,36265,9973,.27500343
Lérida,37234,14210,.38164043
Madrid,536034,388874,.72546518
Melilla,11567,73,.0063110571
Murcia,57518,24939,.433586
Málaga,76660,37184,.48505089
Navarra,53689,33579,.62543535
Orense,35255,10400,.29499361
Palencia,34037,10073,.29594266
Palmas (Las),49583,36114,.72835445
Pontevedra,44954,23517,.52313477
Rioja (La),24114,10765,.44642118
S.C.Tenerife,48290,38735,.80213296
Salamanca,57420,19017,.33119121
Santander,52853,32522,.61532933
Segovia,27871,6538,.23458074
Sevilla,135959,62086,.45665237
Soria,19155,4763,.24865571
Tarragona,38028,19265,.50660038
Teruel,28564,6512,.22797927
Toledo,58051,15248,.2626656
Valencia,151199,111942,.74036205
Valladolid,44607,18732,.41993409
Vizcaya,152462,93295,.61192298
Zamora,36698,8280,.22562538
Zaragoza,63345,28962,.45721051
Álava,18965,6372,.33598736
Ávila,29928,5416,.18096766
