sexo,sectores_economicos,ambito_poblacional,age_group,total,denom,sector_share
Mujeres,Construcción,Total nacional,De 25 a 29 años,4658,390454,.011929702
Mujeres,No bien especificados,Total nacional,De 25 a 29 años,6946,390454,.017789548
Mujeres,Industria,Total nacional,De 25 a 29 años,94436,390454,.24186204
Mujeres,Servicios,Total nacional,De 25 a 29 años,270044,390454,.6916154
Mujeres,Agricultura,Total nacional,De 25 a 29 años,12238,390454,.031343002
Mujeres,Energía y agua,Total nacional,De 25 a 29 años,2132,390454,.0054603103
Mujeres,Servicios,Total nacional,De 30 a 34 años,206454,281278,.7339856
Mujeres,Energía y agua,Total nacional,De 30 a 34 años,1626,281278,.0057807579
Mujeres,No bien especificados,Total nacional,De 30 a 34 años,5073,281278,.018035538
Mujeres,Construcción,Total nacional,De 30 a 34 años,2290,281278,.0081414115
Mujeres,Agricultura,Total nacional,De 30 a 34 años,14531,281278,.051660635
Mujeres,Industria,Total nacional,De 30 a 34 años,51304,281278,.18239607
Mujeres,Industria,Total nacional,De 35 a 39 años,35036,211519,.16563997
Mujeres,Construcción,Total nacional,De 35 a 39 años,1384,211519,.0065431474
Mujeres,Energía y agua,Total nacional,De 35 a 39 años,1011,211519,.0047797123
Mujeres,No bien especificados,Total nacional,De 35 a 39 años,4284,211519,.0202535
Mujeres,Servicios,Total nacional,De 35 a 39 años,152585,211519,.72137725
Mujeres,Agricultura,Total nacional,De 35 a 39 años,17219,211519,.0814064
Mujeres,Servicios,Total nacional,De 40 a 44 años,122807,177187,.69309258
Mujeres,Energía y agua,Total nacional,De 40 a 44 años,846,177187,.0047746166
Mujeres,No bien especificados,Total nacional,De 40 a 44 años,3368,177187,.019008167
Mujeres,Industria,Total nacional,De 40 a 44 años,27314,177187,.15415353
Mujeres,Agricultura,Total nacional,De 40 a 44 años,21974,177187,.12401587
Mujeres,Construcción,Total nacional,De 40 a 44 años,878,177187,.0049552168
