country,year_birth,treat,completed_cohort_fertility
Portugal,1925,0,2.98
Portugal,1926,0,2.985
Portugal,1927,0,2.963
Portugal,1928,0,2.966
Portugal,1929,0,2.964
Portugal,1930,1,2.925
Portugal,1931,1,2.955
Portugal,1932,1,2.949
Portugal,1933,1,2.923
Portugal,1934,1,2.91
Portugal,1935,1,2.876
Portugal,1936,1,2.864
Portugal,1937,1,2.847
Portugal,1938,1,2.856
Portugal,1939,2,2.801
Portugal,1940,2,2.663
Portugal,1941,2,2.606
Portugal,1942,2,2.548
Portugal,1943,2,2.527
Portugal,1944,2,2.495
Portugal,1945,2,2.405
Portugal,1946,2,2.35
Portugal,1947,2,2.256
Portugal,1948,2,2.204
Portugal,1949,2,2.129
Portugal,1950,2,2.093
Portugal,1951,2,2.07
Portugal,1952,2,2.055
Portugal,1953,2,2.035
Portugal,1954,2,2.027
Portugal,1955,2,2.039
Portugal,1956,2,2.033
Portugal,1957,2,1.989
Portugal,1958,2,1.989
Portugal,1959,2,1.947
Portugal,1960,2,1.909
Portugal,1961,2,1.884
Portugal,1962,2,1.897
Portugal,1963,2,1.849
Portugal,1964,2,1.839
Portugal,1965,2,1.838
Portugal,1966,2,1.819
Portugal,1967,2,1.803
Portugal,1968,2,1.757
Portugal,1969,2,1.725
Portugal,1970,2,1.692
Spain,1920,0,2.514
Spain,1921,0,2.516
Spain,1922,0,2.521
Spain,1923,0,2.528
Spain,1924,0,2.529
Spain,1925,0,2.53
Spain,1926,0,2.534
Spain,1927,0,2.543
Spain,1928,0,2.558
Spain,1929,0,2.579
Spain,1930,1,2.603
Spain,1931,1,2.631
Spain,1932,1,2.657
Spain,1933,1,2.674
Spain,1934,1,2.682
Spain,1935,1,2.679
Spain,1936,1,2.669
Spain,1937,1,2.662
Spain,1938,1,2.649
Spain,1939,2,2.624
Spain,1940,2,2.59
Spain,1941,2,2.542
Spain,1942,2,2.508
Spain,1943,2,2.48
Spain,1944,2,2.447
Spain,1945,2,2.421
Spain,1946,2,2.376
Spain,1947,2,2.317
Spain,1948,2,2.28
Spain,1949,2,2.221
Spain,1950,2,2.151
Spain,1951,2,2.116
Spain,1952,2,2.086
Spain,1953,2,2.032
Spain,1954,2,1.974
Spain,1955,2,1.934
Spain,1956,2,1.905
Spain,1957,2,1.868
Spain,1958,2,1.823
Spain,1959,2,1.787
Spain,1960,2,1.751
Spain,1961,2,1.71
Spain,1962,2,1.68
Spain,1963,2,1.658
Spain,1964,2,1.638
Spain,1965,2,1.602
Spain,1966,2,1.574
Spain,1967,2,1.555
Spain,1968,2,1.527
Spain,1969,2,1.497
Spain,1970,2,1.476
