outcome,spec,coefname,b,se,p,N
family_gender_index,pooled_spain_diff,spain_treat2,-.0534786344327476,.046444677,.25864238,2537
family_gender_index,pooled_spain_diff,spain_treat3,-.0647044821976109,.059591923,.28621879,2537
family_gender_index,pooled_spain_diff,treat_2,-.0219762125550394,.036142591,.54773569,2537
family_gender_index,pooled_spain_diff,treat_3,-.1302401795971082,.051170286,.016300343,2537
family_gender_index,spain_only,treat_2,-.0290096066160773,.06047209,.63490629,1546
family_gender_index,spain_only,treat_3,-.129188095839774,.099171109,.20259607,1546
trad_abortion,pooled_spain_diff,spain_treat2,.0850217414624958,.32745156,.79690987,2423
trad_abortion,pooled_spain_diff,spain_treat3,-.1675914674496199,.30693835,.58909667,2423
trad_abortion,pooled_spain_diff,treat_2,.1583490726074571,.22233711,.48184186,2423
trad_abortion,pooled_spain_diff,treat_3,-.0908858578695435,.29115936,.75708467,2423
trad_abortion,spain_only,treat_2,-.0117730224268227,.29411966,.96833599,1481
trad_abortion,spain_only,treat_3,-.4154234538627577,.42302451,.33393818,1481
trad_children_fulfilled,pooled_spain_diff,spain_treat2,-.018946237327206,.051244911,.71418875,2409
trad_children_fulfilled,pooled_spain_diff,spain_treat3,-.1124797744147342,.059479982,.068309069,2409
trad_children_fulfilled,pooled_spain_diff,treat_2,.0565491103094573,.04023888,.17019339,2409
trad_children_fulfilled,pooled_spain_diff,treat_3,.0789458614868925,.057191145,.17766754,2409
trad_children_fulfilled,spain_only,treat_2,.0831610066066615,.056338128,.15033585,1455
trad_children_fulfilled,spain_only,treat_3,.0429425066880148,.082958587,.60850728,1455
trad_dual_income,pooled_spain_diff,spain_treat2,-.0960050846690535,.10451356,.36563712,2363
trad_dual_income,pooled_spain_diff,spain_treat3,-.0495722454681971,.094545275,.60390693,2363
trad_dual_income,pooled_spain_diff,treat_2,.0518117272889966,.066047885,.43892273,2363
trad_dual_income,pooled_spain_diff,treat_3,.0418260456980464,.092636578,.65487158,2363
trad_dual_income,spain_only,treat_2,-.0079942632450422,.062387038,.89889348,1400
trad_dual_income,spain_only,treat_3,.0809493885248476,.13134156,.5423274,1400
trad_home_children,pooled_spain_diff,spain_treat2,-.1774358273509362,.070715822,.017734513,2352
trad_home_children,pooled_spain_diff,spain_treat3,-.0931379448652393,.09189485,.31891328,2352
trad_home_children,pooled_spain_diff,treat_2,.0264297113581956,.054268885,.62978792,2352
trad_home_children,pooled_spain_diff,treat_3,-.1411239056609383,.076463439,.074834988,2352
trad_home_children,spain_only,treat_2,-.073272851716924,.061841764,.24538076,1424
trad_home_children,spain_only,treat_3,-.0897906061172889,.13257234,.50340867,1424
trad_housewife,pooled_spain_diff,spain_treat2,-.0234068174116322,.098815635,.81436491,2382
trad_housewife,pooled_spain_diff,spain_treat3,.0391232200534872,.10177752,.70339388,2382
trad_housewife,pooled_spain_diff,treat_2,-.1042331442299489,.093670972,.27464962,2382
trad_housewife,pooled_spain_diff,treat_3,-.3453451866987615,.11957984,.0071290932,2382
trad_housewife,spain_only,treat_2,-.1191985445620724,.096880101,.22811857,1438
trad_housewife,spain_only,treat_3,-.2592209408026677,.1315286,.058030866,1438
trad_jobs,pooled_spain_diff,spain_treat2,.0421878260442613,.044630405,.35207224,2477
trad_jobs,pooled_spain_diff,spain_treat3,.0574550523952477,.049039342,.25057435,2477
trad_jobs,pooled_spain_diff,treat_2,-.0816306977558703,.041743975,.059893563,2477
trad_jobs,pooled_spain_diff,treat_3,-.127458712246997,.066773906,.065894239,2477
trad_jobs,spain_only,treat_2,-.0039298151167321,.05220335,.94049251,1506
trad_jobs,spain_only,treat_3,-.0487039126423603,.086693615,.57843012,1506
trad_working_mother,pooled_spain_diff,spain_treat2,.0299868840073012,.05749945,.60583645,2392
trad_working_mother,pooled_spain_diff,spain_treat3,-.0794561538211385,.063863866,.22307821,2392
trad_working_mother,pooled_spain_diff,treat_2,-.0763096788125186,.077530831,.33286473,2392
trad_working_mother,pooled_spain_diff,treat_3,-.1350193580184447,.14138323,.34721598,2392
trad_working_mother,spain_only,treat_2,-.077478003161846,.092348717,.40812063,1433
trad_working_mother,spain_only,treat_3,-.3254692252757397,.1646314,.057300773,1433
traditional_index,pooled_spain_diff,spain_treat2,-.0399280933304875,.047573693,.40794551,2540
traditional_index,pooled_spain_diff,spain_treat3,-.060461526331247,.05640329,.29229033,2540
traditional_index,pooled_spain_diff,treat_2,-.0148075173026847,.032582425,.65276676,2540
traditional_index,pooled_spain_diff,treat_3,-.1158703576598394,.04460258,.01440074,2540
traditional_index,spain_only,treat_2,-.0245984308511027,.056394968,.66582811,1549
traditional_index,spain_only,treat_3,-.1225800462182413,.083538309,.15268685,1549
