year_birth,law56_share_18_30,law56_share_20_35,law56_share_25_35,crisis73_share_25_35,law56_age_in_1961,law56_post1961_under25
1920,0,0,0,0,41,0
1921,0,0,0,0,40,0
1922,0,0,0,0,39,0
1923,0,0,0,0,38,0
1924,0,0,0,0,37,0
1925,0,0,0,0,36,0
1926,0,0,0,0,35,0
1927,0,.0625,.090909094,0,34,0
1928,0,.125,.18181819,0,33,0
1929,0,.1875,.27272728,0,32,0
1930,0,.25,.36363637,0,31,0
1931,0,.3125,.45454547,0,30,0
1932,.07692308,.375,.54545456,0,29,0
1933,.15384616,.4375,.63636363,0,28,0
1934,.23076923,.5,.72727275,0,27,0
1935,.30769232,.5625,.81818181,0,26,0
1936,.38461539,.625,.90909094,0,25,0
1937,.46153846,.6875,1,0,24,1
1938,.53846157,.75,1,.090909094,23,1
1939,.61538464,.8125,1,.18181819,22,1
1940,.69230771,.875,1,.27272728,21,1
1941,.76923078,.9375,1,.36363637,20,1
1942,.84615386,1,1,.45454547,19,1
1943,.92307693,1,1,.54545456,18,1
1944,1,1,1,.63636363,17,1
1945,1,1,1,.72727275,16,1
1946,1,1,1,.81818181,15,1
1947,1,1,1,.90909094,14,1
1948,1,1,1,1,13,1
1949,1,1,1,1,12,1
1950,1,1,1,1,11,1
1951,1,1,1,1,10,1
1952,1,1,1,1,9,1
1953,1,1,1,1,8,1
1954,1,1,1,1,7,1
1955,1,1,1,1,6,1
1956,1,1,1,1,5,1
1957,1,1,1,1,4,1
1958,1,1,1,1,3,1
1959,1,1,1,1,2,1
1960,1,1,1,1,1,1
1961,1,1,1,1,0,1
1962,1,1,1,1,-1,1
1963,1,1,1,1,-2,1
1964,1,1,1,1,-3,1
1965,1,1,1,1,-4,1
1966,1,1,1,1,-5,1
1967,1,1,1,1,-6,1
1968,1,1,1,1,-7,1
1969,1,1,1,1,-8,1
1970,1,1,1,1,-9,1
