sample,outcome,spec,coefname,b,se,p,N
census,kids2,birth_current_fe,treat_2,-.0086264649305097,.011043341,.43773761,872272
census,kids2,birth_current_fe,treat_3,-.0088598208187067,.012764183,.49024469,872272
census,kids2,birth_current_front,front_treat2,-.0001543606586434,.00014175866,.28048235,840980
census,kids2,birth_current_front,front_treat3,-.0001746629405238,.00015570283,.2663562,840980
census,kids2,birth_current_front,treat_2,-.0045033534960165,.0072591593,.53732616,840980
census,kids2,birth_current_front,treat_3,-.0043258644856622,.0086121969,.61726844,840980
census,kids2,birthprov_fe,treat_2,-.0084515950543553,.011075675,.44835845,865255
census,kids2,birthprov_fe,treat_3,-.0092838497420864,.012906292,.47468606,865255
census,kids2,birthprov_front,front_treat2,-.000152754195841,.00013965287,.27833736,834343
census,kids2,birthprov_front,front_treat3,-.0001778243148966,.00015336642,.25078169,834343
census,kids2,birthprov_front,treat_2,-.0043187238064015,.0072851079,.55549616,834343
census,kids2,birthprov_front,treat_3,-.0045115714778242,.0087893046,.60959393,834343
census,nhijos,birth_current_fe,treat_2,-.0689991173042026,.026111046,.010442051,872272
census,nhijos,birth_current_fe,treat_3,-.1434792529238411,.032348674,.000039086968,872272
census,nhijos,birth_current_front,front_treat2,-.0016920114641181,.00040100643,.000082668288,840980
census,nhijos,birth_current_front,front_treat3,-.0020035146129462,.00045628435,.000045665511,840980
census,nhijos,birth_current_front,treat_2,-.0250378511966265,.018845169,.18892618,840980
census,nhijos,birth_current_front,treat_3,-.0917206202815287,.024780149,.00046278461,840980
census,nhijos,birthprov_fe,treat_2,-.0745769597422292,.023748841,.0026026114,865255
census,nhijos,birthprov_fe,treat_3,-.1517958168698514,.030275101,4.8807224e-06,865255
census,nhijos,birthprov_front,front_treat2,-.0015860835754975,.00037462858,.000078699624,834343
census,nhijos,birthprov_front,front_treat3,-.001882935168378,.00043304241,.000053003456,834343
census,nhijos,birthprov_front,treat_2,-.0349693137264295,.017028429,.044309754,834343
census,nhijos,birthprov_front,treat_3,-.1050316874148987,.023423681,.000032950386,834343
